Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EngagementSurvey,EmpSatisfaction,DaysLateLast30,Absences,BurnRate,MentalFatigueScore,WFHAvailable,ResourceAllocation,SalaryPerLevel,PromotionStagnation,TotalSatisfaction,BurnoutPressureIndex,CareerVelocity,ManagerStability
35,0,2,809,1,16,3,3,1,1,84,4,1,2,2,1,2426,16479,0,0,13,3,3,1,6,5,3,5,4,0,3,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1213.0,0.0,2.25,1.4333333333333331,0.027777777777777776,0.5
29,0,2,153,1,15,2,1,4,0,49,2,2,2,3,2,4193,12682,0,1,12,3,4,0,10,3,3,9,5,0,8,4.225,4.0,0.0,10.5,0.42,5.6,1.0,4.0,1397.6666666666667,0.0,3.5,1.1199999999999999,0.06666666666666667,0.8
31,0,2,670,1,26,1,1,1,1,31,3,1,6,3,0,2911,15170,1,0,17,3,4,1,5,1,2,5,2,4,3,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1455.5,0.6666666666666666,2.5,1.4333333333333331,0.03125,0.5
34,0,2,1346,1,19,2,3,2,1,93,3,1,2,4,0,2661,8758,0,0,11,3,3,1,3,2,3,2,2,1,2,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1330.5,0.3333333333333333,3.0,1.4333333333333331,0.02857142857142857,0.6666666666666666
28,1,2,103,1,24,3,1,3,1,50,2,1,2,3,2,2028,12947,5,1,14,3,2,0,6,4,3,4,2,0,3,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1014.0,0.0,2.75,1.4333333333333331,0.034482758620689655,0.6
29,0,2,1389,1,21,4,1,2,0,51,4,3,4,1,0,9980,10195,1,0,11,3,3,1,10,1,3,10,9,8,8,4.225,4.0,0.0,10.5,0.5,6.3,1.0,6.0,2495.0,0.7272727272727273,2.25,0.8999999999999999,0.1,0.7272727272727273
32,0,2,334,1,5,2,1,1,1,80,4,1,6,2,0,3298,15053,0,1,12,3,4,2,7,5,2,6,2,0,5,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1649.0,0.0,2.25,1.4333333333333331,0.030303030303030304,0.7142857142857143
22,0,0,1123,1,16,2,3,4,1,96,4,1,2,4,0,2935,7324,1,1,13,3,2,2,1,2,2,1,0,0,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1467.5,0.0,3.0,1.4333333333333331,0.043478260869565216,0.0
53,0,2,1219,2,2,4,1,1,0,78,2,4,3,4,1,15427,22021,2,0,16,3,3,0,31,3,3,25,8,3,7,4.28,4.0,0.0,14.0,0.67,7.6,0.0,7.0,3085.4,0.11538461538461539,2.75,0.95,0.07407407407407407,0.2692307692307692
38,0,2,371,1,2,3,1,4,1,45,3,1,6,4,2,3944,4306,5,1,11,3,3,0,6,3,3,3,2,1,2,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1972.0,0.25,3.5,1.4333333333333331,0.02564102564102564,0.5
24,0,0,673,1,11,2,4,1,0,96,4,2,4,3,0,4011,8232,0,0,18,3,4,1,5,5,2,4,2,1,3,4.225,4.0,0.0,10.5,0.42,5.6,1.0,4.0,1337.0,0.2,2.5,1.1199999999999999,0.08,0.6
36,1,2,1218,2,9,4,1,3,1,82,2,1,8,1,2,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,3.815,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1703.5,0.0,2.25,1.4333333333333331,0.02702702702702703,0.5
34,0,2,419,1,7,4,1,1,0,53,3,3,5,2,2,11994,21293,0,0,11,3,3,0,13,4,3,12,6,2,11,4.225,4.0,0.0,10.5,0.5,6.3,1.0,6.0,2998.5,0.15384615384615385,2.25,0.8999999999999999,0.08571428571428572,0.8461538461538461
21,0,2,391,1,15,2,1,3,1,96,3,1,6,4,2,1232,19281,1,0,14,3,4,0,0,6,3,0,0,0,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,616.0,0.0,3.5,1.4333333333333331,0.045454545454545456,0.0
34,1,2,699,1,6,1,3,2,1,83,3,1,6,1,2,2960,17102,2,0,11,3,3,0,8,2,3,4,2,1,3,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1480.0,0.2,2.25,1.4333333333333331,0.02857142857142857,0.6
53,0,2,1282,1,5,3,4,3,0,58,3,5,3,3,0,19094,10735,4,0,11,3,4,1,26,3,2,14,13,4,8,4.225,4.0,0.0,10.5,0.86,8.95,0.0,9.0,3182.3333333333335,0.26666666666666666,3.0,0.895,0.09259259259259259,0.5333333333333333
32,1,1,1125,1,16,1,1,2,0,72,1,1,6,1,2,3919,4681,1,1,22,4,2,0,10,5,3,10,2,6,7,4.225,4.0,0.0,10.5,0.27,4.2,1.0,2.0,1959.5,0.5454545454545454,2.0,1.4,0.030303030303030304,0.6363636363636364
42,0,2,691,2,8,4,2,3,1,48,3,2,7,2,1,6825,21173,0,0,11,3,4,1,10,2,3,9,7,4,2,3.815,4.0,0.0,10.0,0.47,6.0,1.0,4.0,2275.0,0.4,3.0,1.2000000000000002,0.046511627906976744,0.2
44,0,2,477,1,7,4,3,1,0,42,2,3,0,4,1,10248,2094,3,0,14,3,4,1,24,4,3,22,6,5,17,4.225,4.0,0.0,10.5,0.5,6.3,1.0,6.0,2562.0,0.21739130434782608,3.0,0.8999999999999999,0.06666666666666667,0.7391304347826086
46,0,2,705,2,2,4,2,2,0,83,3,5,3,1,2,18947,22822,3,0,12,3,4,0,22,2,2,2,2,2,1,4.28,4.0,0.0,14.0,0.86,8.95,0.0,9.0,3157.8333333333335,0.6666666666666666,2.25,0.895,0.10638297872340426,0.3333333333333333
33,0,2,924,1,2,3,3,3,1,78,3,1,2,4,2,2496,6670,4,0,11,3,4,0,7,3,3,1,1,0,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1248.0,0.0,3.5,1.4333333333333331,0.029411764705882353,0.0
44,0,2,1459,1,10,4,4,4,1,41,3,2,0,4,1,6465,19121,2,1,13,3,4,0,9,5,4,4,2,1,3,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,2155.0,0.2,4.0,1.2000000000000002,0.044444444444444446,0.6
30,0,2,125,1,9,2,3,4,1,83,2,1,2,3,2,2206,16117,1,0,13,3,1,0,10,5,3,10,0,1,8,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1103.0,0.09090909090909091,2.75,1.4333333333333331,0.03225806451612903,0.7272727272727273
39,1,2,895,2,5,3,5,4,1,56,3,2,8,4,1,2086,3335,3,0,14,3,3,1,19,6,4,1,0,0,0,3.815,4.0,0.0,10.0,0.47,6.0,1.0,4.0,695.3333333333334,0.0,3.75,1.2000000000000002,0.05,0.0
24,1,2,813,1,1,3,3,2,1,61,3,1,6,4,1,2293,3020,2,1,16,3,1,1,6,2,2,2,0,2,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1146.5,0.6666666666666666,2.25,1.4333333333333331,0.04,0.0
43,0,2,1273,1,2,2,3,4,0,72,4,1,6,3,0,2645,21923,1,0,12,3,4,2,6,3,2,5,3,1,4,4.225,4.0,0.0,10.5,0.27,4.2,1.0,2.0,1322.5,0.16666666666666666,3.25,1.4,0.022727272727272728,0.6666666666666666
50,1,2,869,2,3,2,2,1,1,86,2,1,8,3,1,2683,3810,1,1,14,3,3,0,3,2,3,3,2,0,2,3.815,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1341.5,0.0,2.5,1.4333333333333331,0.0196078431372549,0.5
35,0,2,890,2,2,3,2,4,0,97,3,1,8,4,1,2014,9687,1,0,13,3,1,0,2,3,3,2,2,2,2,4.28,4.0,0.0,14.0,0.27,4.2,1.0,2.0,1007.0,0.6666666666666666,3.0,1.4,0.027777777777777776,0.6666666666666666
36,0,2,852,1,5,4,1,2,0,82,2,1,6,1,1,3419,13072,9,1,14,3,4,1,6,3,4,1,1,0,0,4.225,4.0,0.0,10.5,0.27,4.2,1.0,2.0,1709.5,0.0,2.75,1.4,0.02702702702702703,0.0
33,0,1,1141,2,1,3,1,3,0,42,4,2,7,1,1,5376,3193,2,0,19,3,1,2,10,3,3,5,3,1,3,4.28,4.0,0.0,14.0,0.42,5.6,1.0,4.0,1792.0,0.16666666666666666,2.0,1.1199999999999999,0.058823529411764705,0.5
35,0,2,464,1,4,2,4,3,1,75,3,1,2,4,0,1951,10910,1,0,12,3,3,1,1,3,3,1,0,0,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,975.5,0.0,3.25,1.4333333333333331,0.027777777777777776,0.0
27,0,2,1240,1,2,4,1,4,0,33,3,1,2,1,0,2341,19715,1,0,13,3,4,1,1,6,3,1,0,0,0,4.225,4.0,0.0,10.5,0.27,4.2,1.0,2.0,1170.5,0.0,3.0,1.4,0.03571428571428571,0.0
26,1,2,1357,1,25,3,1,1,1,48,1,1,2,3,2,2293,10558,1,0,12,3,3,0,1,2,2,1,0,0,1,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1146.5,0.0,2.25,1.4333333333333331,0.037037037037037035,0.5
27,0,1,994,2,8,3,1,4,1,37,3,3,7,3,2,8726,2975,1,0,15,3,4,0,9,0,3,9,8,1,7,3.815,4.0,0.0,10.0,0.56,6.8,0.0,6.0,2181.5,0.1,3.5,0.9714285714285713,0.10714285714285714,0.7
30,0,1,721,1,1,2,3,3,0,58,3,2,2,4,2,4011,10781,1,0,23,4,4,0,12,2,3,12,8,3,7,4.225,4.0,0.0,10.5,0.42,5.6,1.0,4.0,1337.0,0.23076923076923078,3.5,1.1199999999999999,0.06451612903225806,0.5384615384615384
41,1,2,1360,1,12,3,5,2,0,49,3,5,5,3,1,19545,16280,1,0,12,3,4,0,23,0,3,22,15,15,8,4.225,4.0,0.0,10.5,0.86,8.95,0.0,9.0,3257.5,0.6521739130434783,3.0,0.895,0.11904761904761904,0.34782608695652173
34,0,0,1065,2,23,4,2,2,1,72,3,2,7,3,2,4568,10034,0,0,20,4,3,0,10,2,3,9,5,8,7,3.815,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1522.6666666666667,0.8,2.75,1.2000000000000002,0.05714285714285714,0.7
37,0,2,408,1,19,2,1,2,1,73,3,1,6,2,1,3022,10227,4,0,21,4,1,0,8,1,3,1,0,0,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1511.0,0.0,2.0,1.4333333333333331,0.02631578947368421,0.0
46,0,1,1211,2,5,4,2,1,1,98,3,2,7,4,2,5772,20445,4,1,21,4,3,0,14,4,3,9,6,0,8,3.815,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1924.0,0.0,2.75,1.2000000000000002,0.0425531914893617,0.8
35,0,2,1229,1,8,1,1,4,1,36,4,1,2,4,1,2269,4892,1,0,19,3,4,0,1,2,3,1,0,0,1,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1134.5,0.0,3.75,1.4333333333333331,0.027777777777777776,0.5
48,1,2,626,1,1,2,1,1,1,98,2,3,2,3,2,5381,19294,9,1,13,3,4,0,23,2,3,1,0,0,0,4.3,4.0,0.0,10.0,0.56,6.8,0.0,6.0,1345.25,0.0,2.75,0.9714285714285713,0.061224489795918366,0.0
28,1,2,1434,1,5,4,5,3,1,50,3,1,2,3,2,3441,11179,1,1,13,3,3,0,2,3,2,2,2,2,2,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1720.5,0.6666666666666666,2.75,1.4333333333333331,0.034482758620689655,0.6666666666666666
44,0,2,1488,2,1,5,2,2,0,75,3,2,7,1,0,5454,4009,5,1,21,4,3,1,9,2,2,4,3,1,3,4.28,4.0,0.0,14.0,0.42,5.6,1.0,4.0,1818.0,0.2,2.0,1.1199999999999999,0.044444444444444446,0.6
35,0,0,1097,1,11,2,3,3,1,79,2,3,0,1,1,9884,8302,2,1,13,3,3,1,10,3,3,4,0,2,3,4.3,4.0,0.0,10.0,0.56,6.8,0.0,6.0,2471.0,0.4,2.5,0.9714285714285713,0.08333333333333333,0.6
26,0,2,1443,2,23,3,2,3,0,47,2,2,7,4,1,4157,21436,7,1,19,3,3,1,5,2,2,2,2,0,0,4.28,4.0,0.0,14.0,0.42,5.6,1.0,4.0,1385.6666666666667,0.0,3.0,1.1199999999999999,0.07407407407407407,0.0
33,0,1,515,1,1,2,1,1,0,98,3,3,5,4,2,13458,15146,1,1,12,3,3,0,15,1,3,15,14,8,12,4.225,4.0,0.0,10.5,0.5,6.3,1.0,6.0,3364.5,0.5,2.75,0.8999999999999999,0.08823529411764706,0.75
35,0,1,853,2,18,5,1,2,1,71,3,3,7,1,1,9069,11031,1,0,22,4,4,1,9,3,2,9,8,1,8,3.815,4.0,0.0,10.0,0.56,6.8,0.0,6.0,2267.25,0.1,2.25,0.9714285714285713,0.08333333333333333,0.8
35,0,2,1142,1,23,4,3,3,0,30,3,1,2,1,1,4014,16002,3,1,15,3,3,1,4,3,3,2,2,2,2,4.225,4.0,0.0,10.5,0.27,4.2,1.0,2.0,2007.0,0.6666666666666666,2.5,1.4,0.027777777777777776,0.6666666666666666
31,0,2,655,1,7,4,1,4,1,48,3,2,2,4,0,5915,9528,3,0,22,4,4,1,10,3,2,7,7,1,7,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1971.6666666666667,0.125,3.5,1.2000000000000002,0.0625,0.875
37,0,2,1115,1,1,4,1,1,1,51,2,2,4,3,0,5993,2689,1,0,18,3,3,1,7,2,4,7,5,0,7,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1997.6666666666667,0.0,2.75,1.2000000000000002,0.05263157894736842,0.875
32,0,2,427,1,1,3,3,1,1,33,3,2,4,4,1,6162,10877,1,1,22,4,2,1,9,3,3,9,8,7,8,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,2054.0,0.7,2.5,1.2000000000000002,0.06060606060606061,0.8
38,0,1,653,1,29,5,1,4,0,50,3,2,2,4,2,2406,5456,1,0,11,3,4,0,10,2,3,10,3,9,9,4.225,4.0,0.0,10.5,0.42,5.6,1.0,4.0,802.0,0.8181818181818182,3.75,1.1199999999999999,0.05128205128205128,0.8181818181818182
50,0,2,989,1,7,2,3,2,0,43,2,5,5,3,0,18740,16701,5,1,12,3,4,1,29,2,2,27,3,13,8,4.225,4.0,0.0,10.5,0.86,8.95,0.0,9.0,3123.3333333333335,0.4642857142857143,2.75,0.895,0.09803921568627451,0.2857142857142857
59,0,2,1435,2,25,3,1,1,0,99,3,3,7,1,2,7637,2354,7,0,11,3,4,0,28,3,2,21,16,7,9,4.28,4.0,0.0,14.0,0.5,6.3,1.0,6.0,1909.25,0.3181818181818182,2.0,0.8999999999999999,0.05,0.4090909090909091
36,0,2,1223,1,8,3,5,3,0,59,3,3,0,3,0,10096,8202,1,0,13,3,2,3,17,2,3,17,14,12,8,4.225,4.0,0.0,10.5,0.5,6.3,1.0,6.0,2524.0,0.6666666666666666,2.75,0.8999999999999999,0.08108108108108109,0.4444444444444444
55,0,2,836,1,8,3,3,4,0,33,3,4,3,3,0,14756,19730,2,1,14,3,3,3,21,2,3,5,0,0,2,4.225,4.0,0.0,10.5,0.67,7.6,0.0,7.0,2951.2,0.0,3.25,0.95,0.07142857142857142,0.3333333333333333
36,0,1,1195,1,11,3,1,2,1,95,2,2,4,2,2,6499,22656,1,0,13,3,3,0,6,3,3,6,5,0,3,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,2166.3333333333335,0.0,2.5,1.2000000000000002,0.05405405405405406,0.42857142857142855
45,0,2,1339,1,7,3,1,2,1,59,3,3,6,1,0,9724,18787,2,0,17,3,3,1,25,2,3,1,0,0,0,4.3,4.0,0.0,10.0,0.56,6.8,0.0,6.0,2431.0,0.0,2.25,0.9714285714285713,0.06521739130434782,0.0
35,0,1,664,1,1,3,3,2,1,79,3,1,6,1,1,2194,5868,4,0,13,3,4,1,5,2,2,3,2,1,2,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1097.0,0.25,2.25,1.4333333333333331,0.027777777777777776,0.5
36,1,2,318,1,9,3,3,4,1,79,2,1,6,3,1,3388,21777,0,1,17,3,1,1,2,0,2,1,0,0,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1694.0,0.0,2.5,1.4333333333333331,0.02702702702702703,0.0
59,0,1,1225,2,1,1,1,1,0,57,2,2,7,3,2,5473,24668,7,0,11,3,4,0,20,2,2,4,3,1,3,4.28,4.0,0.0,14.0,0.42,5.6,1.0,4.0,1824.3333333333333,0.2,2.5,1.1199999999999999,0.03333333333333333,0.6
29,0,2,1328,1,2,3,1,3,1,76,3,1,6,2,1,2703,4956,0,0,23,4,4,1,6,3,3,5,4,0,4,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1351.5,0.0,3.0,1.4333333333333331,0.03333333333333333,0.6666666666666666
31,0,2,1082,1,1,4,3,3,1,87,3,1,6,2,2,2501,18775,1,0,17,3,2,0,1,4,3,1,1,1,0,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1250.5,0.5,2.5,1.4333333333333331,0.03125,0.0
32,0,2,548,1,1,3,1,2,1,66,3,2,6,2,1,6220,7346,1,0,17,3,2,2,10,3,3,10,4,0,9,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,2073.3333333333335,0.0,2.25,1.2000000000000002,0.06060606060606061,0.8181818181818182
36,0,2,132,1,6,3,1,2,0,55,4,1,2,4,1,3038,22002,3,0,12,3,2,0,5,3,3,1,0,0,0,4.225,4.0,0.0,10.5,0.27,4.2,1.0,2.0,1519.0,0.0,2.75,1.4,0.02702702702702703,0.0
31,0,2,746,1,8,4,1,3,0,61,3,2,4,4,2,4424,20682,1,0,23,4,4,0,11,2,3,11,7,1,8,4.225,4.0,0.0,10.5,0.42,5.6,1.0,4.0,1474.6666666666667,0.08333333333333333,3.5,1.1199999999999999,0.0625,0.6666666666666666
35,0,2,776,2,1,4,2,3,1,32,2,2,7,1,2,4312,23016,0,0,14,3,2,0,16,2,3,15,13,2,8,3.815,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1437.3333333333333,0.125,2.25,1.2000000000000002,0.05555555555555555,0.5
45,0,2,193,1,6,4,4,4,1,52,3,3,5,1,1,13245,15067,4,1,14,3,2,0,17,3,4,0,0,0,0,4.3,4.0,0.0,10.0,0.56,6.8,0.0,6.0,3311.25,0.0,2.75,0.9714285714285713,0.06521739130434782,0.0
37,0,2,397,1,7,4,3,1,1,30,3,3,5,3,2,13664,25258,4,0,13,3,1,0,16,3,4,5,2,0,2,4.3,4.0,0.0,10.0,0.56,6.8,0.0,6.0,3416.0,0.0,2.25,0.9714285714285713,0.07894736842105263,0.3333333333333333
46,0,2,945,0,5,2,3,2,1,80,3,2,1,2,0,5021,10425,8,1,22,4,4,1,16,2,3,4,2,0,2,4.1,4.0,0.0,9.0,0.47,6.0,1.0,4.0,1673.6666666666667,0.0,2.75,1.2000000000000002,0.0425531914893617,0.4
30,0,2,852,1,1,1,1,4,1,55,2,2,2,4,1,5126,15998,1,1,12,3,3,2,10,1,2,10,8,3,0,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1708.6666666666667,0.2727272727272727,3.25,1.2000000000000002,0.06451612903225806,0.0
35,0,2,1214,1,1,3,3,2,1,30,2,1,6,3,2,2859,26278,1,0,18,3,1,0,6,3,3,6,4,0,4,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1429.5,0.0,2.25,1.4333333333333331,0.027777777777777776,0.5714285714285714
55,0,2,111,2,1,2,1,1,1,70,3,3,7,4,1,10239,18092,3,0,14,3,4,1,24,4,3,1,0,1,0,3.815,4.0,0.0,10.0,0.56,6.8,0.0,6.0,2559.75,0.5,3.0,0.9714285714285713,0.05357142857142857,0.0
38,0,0,573,1,6,3,3,2,0,79,1,2,6,4,0,5329,15717,7,1,12,3,4,3,17,3,3,13,11,1,9,4.225,4.0,0.0,10.5,0.42,5.6,1.0,4.0,1776.3333333333333,0.07142857142857142,3.25,1.1199999999999999,0.05128205128205128,0.6428571428571429
34,0,2,1153,1,1,2,3,1,1,94,3,2,4,2,1,4325,17736,1,0,15,3,3,0,5,2,3,5,2,1,3,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1441.6666666666667,0.16666666666666666,2.25,1.2000000000000002,0.05714285714285714,0.5
56,0,2,1400,1,7,3,1,4,1,49,1,3,4,4,2,7260,21698,4,0,11,3,1,0,37,3,2,6,4,0,2,4.3,4.0,0.0,10.0,0.56,6.8,0.0,6.0,1815.0,0.0,2.75,0.9714285714285713,0.05263157894736842,0.2857142857142857
23,0,2,541,2,2,1,5,3,1,62,3,1,8,1,0,2322,9518,3,0,13,3,3,1,3,3,3,0,0,0,0,3.815,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1161.0,0.0,2.5,1.4333333333333331,0.041666666666666664,0.0
51,0,2,432,1,9,4,1,4,1,96,3,1,2,4,1,2075,18725,3,0,23,4,2,2,10,4,3,4,2,0,3,4.3,4.0,0.0,10.0,0.28,4.3,1.0,2.0,1037.5,0.0,3.25,1.4333333333333331,0.019230769230769232,0.6
30,0,2,288,1,2,3,1,3,1,99,2,2,0,4,1,4152,15830,1,0,19,3,1,3,11,3,3,11,10,10,8,4.3,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1384.0,0.8333333333333334,2.75,1.2000000000000002,0.06451612903225806,0.6666666666666666
46,1,2,669,2,9,2,3,3,1,64,2,3,7,4,2,9619,13596,1,0,16,3,4,0,9,3,3,9,8,4,7,3.815,4.0,0.0,10.0,0.56,6.8,0.0,6.0,2404.75,0.4,3.5,0.9714285714285713,0.06382978723404255,0.7
40,0,1,530,1,1,4,1,3,1,78,2,4,0,2,1,13503,14115,1,0,22,4,4,1,22,3,2,22,3,11,11,4.3,4.0,0.0,10.0,0.67,7.7,0.0,7.0,2700.6,0.4782608695652174,2.75,0.9625,0.0975609756097561,0.4782608695652174
51,0,2,632,2,21,4,2,3,1,71,3,2,7,4,2,5441,8423,0,1,22,4,4,0,11,2,1,10,7,1,0,3.815,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1813.6666666666667,0.09090909090909091,3.0,1.2000000000000002,0.038461538461538464,0.0
30,0,2,1334,2,4,2,3,3,0,63,2,2,7,2,0,5209,19760,1,1,12,3,2,3,11,4,2,11,8,2,7,4.28,4.0,0.0,14.0,0.42,5.6,1.0,4.0,1736.3333333333333,0.16666666666666666,2.25,1.1199999999999999,0.06451612903225806,0.5833333333333334
46,0,1,638,1,1,3,3,3,1,40,2,3,0,1,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,4.3,4.0,0.0,10.0,0.56,6.8,0.0,6.0,2668.25,0.8181818181818182,2.25,0.9714285714285713,0.06382978723404255,0.45454545454545453
32,0,2,1093,2,6,4,3,2,1,87,3,2,7,3,2,5010,24301,1,0,16,3,1,0,12,0,3,11,8,5,7,3.815,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1670.0,0.4166666666666667,2.25,1.2000000000000002,0.06060606060606061,0.5833333333333334
54,0,2,1217,1,2,4,5,1,0,60,3,3,5,3,1,13549,24001,9,0,12,3,1,1,16,5,1,4,3,0,3,4.225,4.0,0.0,10.5,0.5,6.3,1.0,6.0,3387.25,0.0,1.5,0.8999999999999999,0.05454545454545454,0.6
24,0,2,1353,2,3,2,4,1,0,33,3,2,7,3,1,4999,17519,0,0,21,4,1,1,4,2,2,3,2,0,2,4.28,4.0,0.0,14.0,0.42,5.6,1.0,4.0,1666.3333333333333,0.0,1.75,1.1199999999999999,0.08,0.5
28,0,0,120,2,4,3,3,2,1,43,3,2,7,3,1,4221,8863,1,0,15,3,2,0,5,3,4,5,4,0,4,3.815,4.0,0.0,10.0,0.47,6.0,1.0,4.0,1407.0,0.0,2.75,1.2000000000000002,0.06896551724137931,0.6666666666666666
